1	C
2	C
3	D
4	C
5	A
6	C
7	D
8	B
9	B
10	A
11	B
12	B
13	C
14	B
15	D
16	D
17	D
18	B
19	D
20	A
21	D
22	B
23	A
24	C
25	B
26	B
27	B
28	C
29	C
30	C
31	B
32	C
33	A
34	A
35	A
36	D
37	A
38	B
39	D
40	D
41	D
42	B
43	D
44	C
45	A
46	C
47	B
48	B
49	D
50	A
51	D
52	D
53	B
54	D
55	B
56	D
57	A
58	C
59	C
60	A
61	C
62	A
63	D
64	B
65	D
66	C
67	D
68	A
69	A
70	D
71	A
72	D
73	D
74	C
75	B
76	B
77	A
78	C
79	B
80	B
81	B
82	B
83	B
84	A
85	C
86	C
87	D
88	C
89	C
90	B
91	A
92	D
93	A
94	D
95	B
96	B
97	B
98	C
99	D
100	B
