1	B
2	A
3	A
4	C
5	A
6	D
7	C
8	A
9	C
10	C
11	A
12	D
13	A
14	C
15	B
16	A
17	D
18	A
19	C
20	B
21	D
22	A
23	D
24	D
25	C
26	B
27	B
28	D
29	A
30	C
31	A
32	C
33	A
34	C
35	D
36	B
37	C
38	B
39	D
40	A
41	B
42	D
43	C
44	C
45	D
46	B
47	D
48	B
49	D
50	D
51	D
52	C
53	D
54	C
55	D
56	C
57	A
58	D
59	B
60	A
61	A
62	B
63	A
64	B
65	B
66	B
67	D
68	C
69	A
70	B
71	B
72	A
73	D
74	C
75	C
76	A
77	B
78	D
79	D
80	A
81	A
82	D
83	C
84	A
85	C
86	D
87	D
88	A
89	D
90	A
91	C
92	B
93	D
94	C
95	D
96	B
97	C
98	D
99	D
100	A
